Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6r8k1vznHrzlEKYxL4dZEe,"La Isla Bonita","True Blue","Madonna",1986-06-30,242733,82,false,,2026-07-09T14:06:14Z,"","Warner Records",0.724,0.822,1,-4.374,0,0.0333,0.304,0.0000138,0.0553,0.964,99.9,4
spotify:track:7wuJGgpTNzbUyn26IOY6rj,"Total Eclipse of the Heart","The Very Best of Bonnie Tyler","Bonnie Tyler",2009-03-26,267360,90,false,,2026-07-09T14:06:14Z,"","Sony Music UK",0.431,0.723,8,-5.887,1,0.0568,0.145,0,0.374,0.19,130.141,4
spotify:track:05yiiw2F3XXoighyveZTDs,"Heaven Is a Place on Earth - Promo 7"" Edit","Heaven on Earth (Deluxe Edition)","Belinda Carlisle",1987-10-05,233666,83,false,,2026-07-09T14:06:14Z,"","BMG Rights Management (UK) Ltd.",0.604,0.9,4,-5.807,1,0.0382,0.0163,0.00000173,0.129,0.684,122.88,4
spotify:track:5ChkMS8OtdzJeqyybCc9R5,"Billie Jean","Thriller 25 Super Deluxe Edition","Michael Jackson",2008-02-08,293826,83,false,,2026-07-09T14:06:14Z,"","Epic/Legacy",0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0153,0.036,0.847,117.046,4
spotify:track:2v7ywbUzCgcVohHaKUcacV,"Like a Prayer","Like a Prayer","Madonna",1989-03-21,340866,88,false,,2026-07-09T14:06:14Z,"","Sire/Warner Records",0.66,0.629,5,-12.359,1,0.0387,0.432,0.000073,0.172,0.324,111.926,4
spotify:track:37ZJ0p5Jm13JPevGcx4SkF,"Livin' On A Prayer","Slippery When Wet","Bon Jovi",1986-08-16,249293,86,false,,2026-07-09T14:06:14Z,"glam metal","Island Records",0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000206,0.294,0.794,122.509,4
spotify:track:0dOg1ySSI7NkpAe89Zo0b9,"Born in the U.S.A.","Born In The U.S.A.","Bruce Springsteen",1984-06-04,279786,80,false,,2026-07-09T14:06:14Z,"","Columbia",0.398,0.952,4,-6.042,1,0.061,0.000373,0.0000775,0.1,0.584,122.093,4
spotify:track:1OOtq8tRnDM8kG2gqUPjAj,"Beat It","Thriller 25 Super Deluxe Edition","Michael Jackson",2008-02-08,258040,80,false,,2026-07-09T14:06:14Z,"","Epic/Legacy",0.776,0.867,3,-3.704,0,0.0479,0.0495,0.00000792,0.197,0.918,138.827,4
spotify:track:3HCah9Waf9Jby9gLIWN4MI,"Eyes Without A Face - Remastered 1999","Greatest Hits","Billy Idol",2001-01-01,297426,71,false,,2026-07-09T14:06:14Z,"","Chrysalis\EMI Records (USA)",0.545,0.646,9,-9.693,1,0.0405,0.00823,0.22,0.159,0.551,85.761,4
spotify:track:4RvWPyQ5RL0ao9LPZeSouE,"Everybody Wants To Rule The World","Songs From The Big Chair (Super Deluxe Edition)","Tears For Fears",1985-02-25,251488,88,false,,2026-07-09T14:06:14Z,"new wave,synthpop","UMC (Universal Music Catalogue)",0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,4
spotify:track:4tcauy2xyIv1q0ckvQmc4H,"Material Girl - 2024 Remaster","Material Girl (2024 Remaster)","Madonna",1985-01-23,242337,68,false,,2026-07-09T14:06:14Z,"","Warner Records",0.741,0.892,0,-2.567,1,0.031,0.166,0.00189,0.0783,0.979,136.403,4
spotify:track:3oEkrIfXfSh9zGnE7eBzSV,"The Winner Takes It All","Super Trouper","ABBA",1980,294720,90,false,,2026-07-09T14:06:14Z,"","Polar Music International AB",0.454,0.788,6,-6.748,1,0.0371,0.574,0.000766,0.0859,0.52,126.15,4
spotify:track:5Hyr47BBGpvOfcykSCcaw9,"Holding Out for a Hero - From ""Footloose"" Soundtrack","Secret Dreams and Forbidden Fire","Bonnie Tyler",1986-05-05,348333,82,false,,2026-07-09T14:06:14Z,"","Sony Music CG",0.616,0.685,9,-15.289,0,0.04,0.0245,0.0000113,0.0491,0.895,150.055,4
spotify:track:7arHM2KZ0KzIZXFVDRGClI,"Holiday","Madonna","Madonna",1983-07-27,370426,66,false,,2026-07-09T14:06:14Z,"","Sire/Warner Records",0.813,0.699,7,-8.656,1,0.0458,0.0251,0.0134,0.0527,0.732,117.549,4
spotify:track:4cgjA7B4fJBHyB9Ya2bu0t,"Human Nature","Thriller","Michael Jackson",1982-11-30,245837,91,false,,2026-07-09T14:06:14Z,"","Epic",0.628,0.409,2,-14.348,1,0.0306,0.498,0.00565,0.29,0.755,93.005,4
spotify:track:2nrG5UtAcqXbYttu7MXP1p,"Under Pressure (feat. David Bowie)","Hot Space","Queen;David Bowie",1982-05-03,248440,87,false,,2026-07-09T14:06:14Z,"rock clássico,rock,glam rock,art rock","Columbia",0.667,0.697,2,-8.015,1,0.0481,0.424,0,0.102,0.488,113.837,4
spotify:track:5zA8vzDGqPl2AzZkEYQGKh,"Uptown Girl","An Innocent Man","Billy Joel",1983-08-08,198294,88,false,,2026-07-09T14:06:14Z,"soft rock","Columbia",0.701,0.944,4,-2.986,1,0.0455,0.0755,0,0.601,0.792,128.993,4
spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,"Take on Me","Hunting High and Low","a-ha",1985-06-01,225280,92,false,,2026-07-09T14:06:14Z,"new wave,synthpop","Rhino",0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
spotify:track:1jDJFeK9x3OZboIAHsY9k2,"I'm Still Standing","Too Low For Zero","Elton John",1983-05-30,183440,89,false,,2026-07-09T14:06:14Z,"","EMI",0.505,0.904,6,-6.863,1,0.179,0.355,0.118,0.14,0.773,176.811,4
