Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:65DbTqJKhbwqYbZ1Okr0rc,"Choosin' Texas","Choosin' Texas","Ella Langley",2025-10-17,232226,91,false,,2026-09-11T04:00:55Z,"country","SAWGOD/Columbia",0.683,0.78,1,-4.74,1,0.031,0.00939,0,0.194,0.486,112.027,4
spotify:track:5hb2X5SnGfVnNQyqAWJCch,"Take Me Back (Leave Me There)","Take Me Back (Leave Me There)","Cody Johnson",2026-05-29,178573,80,false,,2026-09-11T04:00:55Z,"country,texas country,red dirt","CoJo Music/Warner Records Nashville",0.725,0.572,8,-5.577,1,0.028,0.137,0,0.137,0.43,89.994,4
spotify:track:4xej9vaOrovFRzZVKr8KlF,"Burn it Down (feat. Leon Bridges)","Burn It Down (feat. Leon Bridges)","Shaboozey;Leon Bridges",2026-07-24,251032,73,false,,2026-09-11T04:00:55Z,"soul retrô","American Dogwood / EMPIRE",0.644,0.745,7,-5.944,1,0.0333,0.00515,0.0018,0.352,0.547,122.045,4
spotify:track:7xKr077iMufVJwge6aO9xJ,"Mexico Honey","Middle of Nowhere","Kacey Musgraves",2026-05-01,223332,84,true,,2026-09-11T04:00:55Z,"","Kacey Musgraves, under exclusive license to Lost Highway",0.699,0.655,11,-6.667,1,0.0274,0.35,0.0000465,0.13,0.659,108.969,4
spotify:track:5H8s6OVuZ5hJZ0RT4rpPsf,"Mess","Mess","Jordan Davis",2026-08-14,159810,77,false,,2026-09-11T04:00:55Z,"country,pop country","MCA Nashville",0.583,0.612,7,-6.168,0,0.0293,0.171,0,0.0925,0.422,168.021,3
spotify:track:1OSzjOgzbkNP8ti6444vBv,"What You Want","What You Want","Vincent Mason",2026-06-25,172885,78,false,,2026-09-11T04:00:55Z,"country","Lost Highway/Music Soup/Interscope Records",0.693,0.528,6,-8.408,1,0.0366,0.488,0.00000776,0.136,0.251,106.987,4
spotify:track:36idurZmYRjJ56KQ8JD9bN,"Boston","Boston","STELLA LEFTY",2026-03-27,170859,91,false,,2026-09-11T04:00:55Z,"","Atlantic Outpost",0.802,0.584,0,-6.862,1,0.0348,0.645,0,0.101,0.608,125.985,4
spotify:track:3xwMjQriBVW0OGEvNKo9c0,"Been By Now","Been By Now","Morgan Wallen",2026-07-24,213805,90,false,,2026-09-11T04:00:55Z,"country","Big Loud Records / Mercury Records",0.804,0.748,10,-5.251,1,0.0285,0.273,0,0.0943,0.871,115.984,4
spotify:track:2za9t2qpWyUpIhnJcwopPt,"Sleepless in a Hotel Room","Sleepless in a Hotel Room","Luke Combs",2026-01-07,177674,77,false,,2026-09-11T04:00:55Z,"country","Columbia Nashville",0.466,0.735,8,-5.926,1,0.0303,0.00256,0.00104,0.188,0.557,160.164,4
spotify:track:7AkoEenAhW8P6ucYlQSE7E,"I'm Sorry But I Love You","I'm Sorry But I Love You","Waylon Wyatt;Carter Faith",2026-09-04,242014,69,false,,2026-09-11T04:00:55Z,"country","Music Soup/Darkroom Records",0.527,0.562,5,-7.112,1,0.0299,0.163,0,0.352,0.331,132.916,4
