Track Name,Artist Name(s),Status,Instrumental
Tiramisu Cake,We Are The Night,erro_503,False
METAL GEAR SOLID PEACE WALKER MEDLEY (Performed by The City of Prague Philharmonic Orchestra),戸田信子;The City of Prague Philharmonic Orchestra,nao_encontrada,False
"The Hologram / Binary Sunset - From ""Star Wars: A New Hope""",London Voices;London Symphony Orchestra;John Williams;New London Children's Choir,encontrada,True
"Tales of a Jedi Knight and Learn About the Force - From ""Star Wars: A New Hope""",John Williams;London Symphony Orchestra,nao_encontrada,False
"Binary Sunset - From ""Star Wars: A New Hope""/Alternate",John Williams;London Symphony Orchestra,nao_encontrada,False
The Desert and the Robot Auction,John Williams;London Symphony Orchestra,encontrada,True
Veridis Quo,Daft Punk,encontrada,True
Will Power,アトラスサウンドチーム;ATLUS GAME MUSIC,nao_encontrada,False
Swear to My Bones,アトラスサウンドチーム;ATLUS GAME MUSIC,encontrada,True
Break it Down,アトラスサウンドチーム;ATLUS GAME MUSIC,encontrada,True
Life Goes On,アトラスサウンドチーム;ATLUS GAME MUSIC,encontrada,True
Butterfly Kiss,アトラスサウンドチーム;ATLUS GAME MUSIC,encontrada,True
Aria of the Soul,小宮知子;アトラスサウンドチーム;ATLUS GAME MUSIC,encontrada,True
Te Olvido (La La) (with Selena Gomez & Becky G),benny blanco;Selena Gomez;Becky G,nao_encontrada,False
Wild Boy,mgk;Waka Flocka Flame,nao_encontrada,False
After All (with Paris Paloma),Sarah Kinsley;Paris Paloma,nao_encontrada,False
Claude's Plan,Jeff Guo,erro_503,False
Layer Cake,アトラスサウンドチーム;ATLUS GAME MUSIC,erro_503,False
Theme From Jurassic Park,John Williams,encontrada,True
A Horse with No Name,America;George Martin,erro_503,False
Giant (with Rag'n'Bone Man),Calvin Harris;Rag'n'Bone Man,erro_503,False
Get Lucky (feat. Pharrell Williams and Nile Rodgers),Daft Punk;Pharrell Williams;Nile Rodgers,erro_503,False
The Mandalorian and Grogu,Ludwig Göransson,encontrada,True
Marching Band Finale - Live from the Hollywood Bowl,AJR,nao_encontrada,False
Tom Tom - Flaxans Version,Holy Fuck,erro_503,False
Dizeres (Undaiá),Orgânico;Lourena;Sant;Léo Casa 1;Rap Box,erro_503,False
Chasing Paradise,Kygo;OneRepublic,erro_503,False
Flying Waters - Rain from the Ground,Lorien Testard,encontrada,True
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira;Freshlyground,erro_503,False
Hopeless Opus,Imagine Dragons,erro_503,False
I Will Protect You -Reload-,アトラスサウンドチーム;ATLUS GAME MUSIC,nao_encontrada,False
Not Enough,Delacey,nao_encontrada,False
Find Your Flame,SEGA SOUND TEAM;大谷智哉;Kellin Quinn;Tyler Smyth,erro_503,False
Monoco,Lorien Testard,encontrada,True
In Lumiere's Name,Lorien Testard,encontrada,True
These Walls (feat. Pierre de Maere),Dua Lipa;Pierre de Maere,erro_503,False
Estádio Delírio,SpongeBob SquarePants,nao_encontrada,False
Team up!,Patrik Andrén;Johan Söderqvist;Embark Studios,encontrada,True
The Rust Belt,Patrik Andrén;Johan Söderqvist;Embark Studios,nao_encontrada,False
ARC Raiders,Patrik Andrén;Johan Söderqvist;Embark Studios,nao_encontrada,False
ARC Raiders (II),Patrik Andrén;Johan Söderqvist;Embark Studios,nao_encontrada,False
My Soft Spots My Robots,Blanket Approval,nao_encontrada,False
F1,Hans Zimmer,encontrada,True
Segredos,Frejat,erro_503,False
Skarrsinger Karmelita,Christopher Larkin,encontrada,True
Cogwork Core,Christopher Larkin,encontrada,True
Oh Lord,Foxy Shazam,erro_503,False
Be Alright,The Astronomers;jonny si,nao_encontrada,False
Television Rules the Nation,Daft Punk,erro_503,False
Férias em Salvador,Fernando & Sorocaba,erro_503,False
I Will Find,Vintage Culture;Rooftime,erro_503,False
Mice on Venus,C418,encontrada,True
Living With Determination -巌戸台分寮アレンジ-,アトラスサウンドチーム,nao_encontrada,False
Living With Determination,アトラスサウンドチーム,encontrada,True
Patience,Low Roar,erro_503,False
Rain Drops Keep Falling on My Head,B.J. Thomas,erro_503,False
Jailhouse Rock,Elvis Presley,erro_503,False
Burning Love,Elvis Presley,erro_503,False
Starling,Sarah Kinsley,erro_503,False
Come Undone,Duran Duran,erro_503,False
My Way - 2008 Remastered,Frank Sinatra,erro_503,False
Physical,Dua Lipa,erro_503,False
Déjà Vu,Katy Perry,erro_503,False
KNIGHT OF THE WIND,Crush 40,erro_503,False
Sweden,C418,encontrada,True
Subwoofer Lullaby,C418,encontrada,True
Minecraft,C418,encontrada,True
Feeling Better Now,The Astronomers,nao_encontrada,False
Get By,The Astronomers;BYRNE,nao_encontrada,False
snowfall,Øneheart;reidenshi,encontrada,True
Weightless,Marconi Union,encontrada,True
Satisfaction,David Guetta;Benny Benassi,erro_503,False
"Partita No. 1 for Solo Violin in B Minor, BWV 1002: IV. Double",Johann Sebastian Bach;Hilary Hahn,nao_encontrada,False
Sunshine,OneRepublic,erro_503,False
CHEMICAL PLANT : ACT1,SEGA SOUND TEAM;Naofumi Hataya,erro_503,False
Glam Slam,Prince,erro_503,False
Written in the Stars (feat. Eric Turner),Tinie Tempah;Eric Turner,erro_503,False
Your Woman,White Town,erro_503,False
One,U2,erro_503,False
The Last Battle,John Williams;London Symphony Orchestra,encontrada,True
Dramamine,Flawed Mangoes,encontrada,True
Rivals 'Til the End (Main Theme),Adriana Figueroa,erro_503,False
Pieces Of Me,Ashlee Simpson,erro_503,False
"White Christmas - Spotify Singles - Holiday, Recorded at Air Studios, London",George Ezra,nao_encontrada,False
Dance All Over Me,George Ezra,erro_503,False
Anyone For You (Tiger Lily),George Ezra,erro_503,False
Innuendo - Remastered 2011,Queen,erro_503,False
Flowers In Your Hair,The Lumineers,erro_503,False
All My Love,George Ezra,erro_503,False
MTG QUEM NÃO QUER SOU EU,DJ TOPO;Seu Jorge;Mc Leozin;MC G15,nao_encontrada,False
Test Drive - From How To Train Your Dragon Music From The Motion Picture,John Powell,encontrada,True
Celebrate (with Offset),Juice WRLD;Offset,erro_503,False
Hinoki Wood,Gia Margaret,erro_503,False
Ela Partiu,Projeto Equinox09;Caju Hassen;Julio Arello;Victoria Ferraz,erro_503,False
"One Little Slip - From ""Chicken Little""/Soundtrack Version",Barenaked Ladies,erro_503,False
Ma Meilleure Ennemie (from the series Arcane League of Legends),Arcane;Stromae;Pomme,erro_503,False
Hater,Fiuk;Projota,nao_encontrada,False
Where Are We Going,Kevin Sherwood;Malukah;James McCawley,nao_encontrada,False
Take A Look Around,Limp Bizkit,erro_503,False
"Dexter's Laboratory Main Theme (From ""Dexter's Laboratory"")",Geek Music,nao_encontrada,False
Get Jinxed,League of Legends;Djerv,erro_503,False
Enemy - From the series Arcane League of Legends,Imagine Dragons;Arcane;League of Legends,erro_503,False
Berzerk,Eminem,erro_503,False
Problemas (feat. Alok),MC Hariel;Pedro Lotto;Alok,erro_503,False
Que Bonita Sua Roupa,Chaves;Turminha Do Chaves,nao_encontrada,False
F**kin' Perfect - Radio Edit,P!nk,erro_503,False
Devil Trigger v,Edward Archives,nao_encontrada,False
Manila,George Ezra,erro_503,False
"Chopin Waltz A-flat Major, Op.42",Frédéric Chopin;Marina Arsenijevic,nao_encontrada,False
I Got a Name - Stereo Version,Jim Croce,erro_503,False
Let Me In - From The Fault in Our Stars Soundtrack,GROUPLOVE,nao_encontrada,False
Brand New Days -Reload-,Azumi Takahashi;アトラスサウンドチーム;ATLUS GAME MUSIC,nao_encontrada,False
Don't,Azumi Takahashi;Lotus Juice;アトラスサウンドチーム;ATLUS GAME MUSIC,erro_503,False
Disconnected,Azumi Takahashi;Lotus Juice;アトラスサウンドチーム;ATLUS GAME MUSIC,nao_encontrada,False
YMCA,Village People,erro_503,False
Alibi,Tazzy,nao_encontrada,False
I Took A Pill In Ibiza - Seeb Remix,Mike Posner;Seeb,erro_503,False
Footloose,Kenny Loggins,erro_503,False
Kung Fu Fighting,Carl Douglas,erro_503,False
BACKBONE,Chase & Status;Stormzy,erro_503,False
Hollywood,Derek Duke;Adam Burgess,encontrada,True
Mine,Taylor Swift,erro_503,False
Egoista,Belinda;Pitbull,erro_503,False
By My Side,INXS,erro_503,False
WTF 2,Ugovhb;EF,erro_503,False
Spending My Time,Roxette,erro_503,False
you look like you love me (feat. Riley Green),Ella Langley;Riley Green,erro_503,False
País Tropical,Jorge Ben Jor,erro_503,False
Trust in Me,Selena Gomez,nao_encontrada,False
One Day (feat. Akon),Matisyahu;Akon,erro_503,False
"Tonight, Tonight - Remastered 2012",The Smashing Pumpkins,erro_503,False
Nicole,Maurício & Eduardo;Doublegyn,nao_encontrada,False
You & Me,Marc E. Bassy;G-Eazy,erro_503,False
Orange Afternoon,The Astronomers,erro_503,False
Fortnight (feat. Post Malone),Taylor Swift;Post Malone,erro_503,False
Stuck In A Moment You Can't Get Out Of,U2,erro_503,False
Somebody That I Used To Know,Gotye;Kimbra,erro_503,False
Morph,Twenty One Pilots,erro_503,False
Buck Bumble Main Theme,Justin Scharvona,nao_encontrada,False
Memories of You -Reload-,Azumi Takahashi;アトラスサウンドチーム;ATLUS GAME MUSIC,nao_encontrada,False
Memories of the School - P3R ver.,アトラスサウンドチーム;ATLUS GAME MUSIC,encontrada,True
Memories of the City - P3R ver.,アトラスサウンドチーム;ATLUS GAME MUSIC,encontrada,True
Deep Mentality -Reload-,Azumi Takahashi;アトラスサウンドチーム;ATLUS GAME MUSIC,encontrada,True
Lean On,Major Lazer;DJ Snake;MØ,erro_503,False
Love Like That,Phillip Phillips,erro_503,False
"Helldivers 2 Main Theme - ""A Cup Of Liber-Tea"" [Cover]",Tom Dabrowski,nao_encontrada,False
Grounded,The Astronomers,nao_encontrada,False
After All,The Astronomers,nao_encontrada,False
Caos,Titãs,erro_503,False
Love Generation - Edit,Bob Sinclar;Gary Pine,nao_encontrada,False
You Are,Lionel Richie,erro_503,False
Shadow World,平田志穂子,erro_503,False
"Carolina, Carol Bela",Toquinho;Jorge Ben Jor,nao_encontrada,False
I'll Face Myself(-Battle-),アトラスサウンドチーム,encontrada,True
Our Light,Lyn,erro_503,False
Hollow,Tori Kelly,erro_503,False
INVISIBLE,Duran Duran,erro_503,False
No More What Ifs - instrumental version,アトラスサウンドチーム,erro_503,False
Royal Days,アトラスサウンドチーム,encontrada,True
Beneath the Mask - instrumental version,ATLUS GAME MUSIC;Lyn,nao_encontrada,False
When Mother Was There,アトラスサウンドチーム;ATLUS GAME MUSIC,encontrada,True
specialist,アトラスサウンドチーム,erro_503,False
Rain On Me (with Ariana Grande),Lady Gaga;Ariana Grande,erro_503,False
Eu Vim De Santos Sou Charlie Brown,Charlie Brown Jr.,erro_503,False
