Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5S5gF7ujCupq2bmZMhAvmJ,"BIG 5","PROJECT X","Key Glock",2026-06-19,123960,76,true,,2026-09-11T04:02:12Z,"","Key Glock",0.77,0.612,11,-5.871,0,0.272,0.0644,0.00000146,0.356,0.279,129.001,4
spotify:track:514joG57v4yKTsfQmz7stz,"Janice STFU","ICEMAN","Drake",2026-05-15,237344,94,true,,2026-09-11T04:02:12Z,"rap","OVO/Republic",0.789,0.483,1,-7.959,1,0.0486,0.0808,0,0.172,0.194,125.952,4
spotify:track:5ZAMlvo6ZUjVRZOGu2bJib,"Dead Fresh","Dead Fresh","Lil Baby",2026-07-17,157020,89,true,,2026-09-11T04:02:12Z,"","Quality Control Music/Motown Records",0.776,0.487,11,-6.046,1,0.18,0.0144,0,0.0685,0.509,85.037,4
spotify:track:4oBu4APIBsEeQwLTIsfUn8,"I'm Back","All Eyes on Shiest","Pooh Shiesty",2026-08-07,202840,72,true,,2026-09-11T04:02:12Z,"","1017/Atlantic",0.769,0.714,8,-5.483,0,0.356,0.145,0,0.11,0.516,144.095,4
spotify:track:6vjpQIdABqntoe3zPazPec,"Shabang","ICEMAN","Drake",2026-05-15,188722,87,true,,2026-09-11T04:02:12Z,"rap","OVO/Republic",0.864,0.533,8,-6.294,0,0.111,0.107,0,0.125,0.644,116.994,4
spotify:track:4TtFvGGps7haO0XbmhVz2y,"GASS (feat. Travis Scott)","LOCKED IN","Nemzzz;Travis Scott",2026-09-04,116571,80,true,,2026-09-11T04:02:12Z,"drill reino unido,drill,rap","Atlantic Records UK",0.842,0.827,11,-4.985,1,0.0884,0.00905,0.00000522,0.167,0.382,140.13,4
spotify:track:0a5qYlqZgVqynD4lsGwvPT,"WTF GOIN (feat. 21 Savage)","WTF GOIN (feat. 21 Savage)","Belly Gang Kushington;21 Savage",2026-06-19,184705,77,true,,2026-09-11T04:02:12Z,"","2026 LVRN Records (Love Renaissance)/Belly Gang Kushington",0.878,0.738,6,-6.347,1,0.272,0.00152,0,0.212,0.726,156.984,4
spotify:track:0p7ubMwKZaSE6RhIo8QN9J,"Backwards (feat. T.I.)","Backwards (feat. T.I.)","Quavo;T.I.",2026-09-11,191505,68,true,,2026-09-11T04:02:12Z,"southern hip hop","Quality Control Music/Motown Records",0.456,0.84,7,-2.897,1,0.268,0.235,0,0.195,0.773,81.907,4
spotify:track:2d0UrqT7OYP0gcntGV2rsp,"Konnichiwa","The Real Me","Future",2026-08-06,153733,77,true,,2026-09-11T04:02:12Z,"rap,trap","Epic",0.85,0.671,4,-4.519,1,0.115,0.0295,0,0.361,0.502,127.949,4
spotify:track:7K4Aq4awgYvDKEJdEvvl4j,"Can't Deny It (feat. Nate Dogg)","Ghetto Fabolous","Fabolous;Nate Dogg",2001-09-11,306440,57,true,,2026-09-17T04:00:02Z,"g-funk,west coast hip hop,hip hop old school","Rhino/Elektra",0.916,0.821,4,-4.118,0,0.15,0.0528,0,0.0635,0.592,90.04,4
spotify:track:5aPjDQuQ8K1AnCKVbkYiiU,"Special Ops","Special Ops","Lil Wayne",2026-08-28,281887,66,true,,2026-09-11T04:02:12Z,"rap,hip hop","Lil Wayne PD 2025",0.465,0.983,4,-1.185,0,0.496,0.296,0,0.692,0.567,123.94,4
spotify:track:55t0oslolWtghfZX5VAJ9X,"Nightmares To Dreams","Nightmares To Dreams","Meek Mill",2026-07-31,194473,74,true,,2026-09-11T04:02:12Z,"rap","DreamChasers",0.75,0.563,11,-6.614,1,0.366,0.0887,0,0.113,0.254,158.029,4
